Player,Year,Age,Team,FirstPlace,PtsWon,PtsMax,%,GP,MP,PTS,TRP,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48
Rudy Gobert,2018,25,UTA,89.0,466.0,505,0.923,56,32.4,13.5,10.7,1.4,0.8,2.3,.622,,.682,8.1,.214
Joel Embiid,2018,23,PHI,2.0,163.0,505,0.323,63,30.3,22.9,11.0,3.2,0.6,1.8,.483,.308,.769,6.2,.155
Anthony Davis,2018,24,NOP,5.0,139.0,505,0.275,75,36.4,28.1,11.1,2.3,1.5,2.6,.534,.340,.828,13.7,.241
Paul George,2018,27,OKC,2.0,38.0,505,0.075,79,36.6,21.9,5.7,3.3,2.0,0.5,.430,.401,.822,8.9,.147
Al Horford,2018,31,BOS,1.0,37.0,505,0.073,72,31.6,12.9,7.4,4.7,0.6,1.1,.489,.429,.783,7.8,.165
Draymond Green,2018,27,GSW,1.0,20.0,505,0.040,70,32.7,11.0,7.6,7.3,1.4,1.3,.454,.301,.775,6.1,.127
Jrue Holiday,2018,27,NOP,1.0,11.0,505,0.022,81,36.1,19.0,4.5,6.0,1.5,0.8,.494,.337,.786,7.1,.116
Robert Covington,2018,27,PHI,0.0,8.0,505,0.016,80,31.7,12.6,5.4,2.0,1.7,0.9,.413,.369,.853,6.1,.116
Kevin Durant,2018,29,GSW,0.0,7.0,505,0.014,68,34.2,26.4,6.8,5.4,0.7,1.8,.516,.419,.889,10.4,.215
Jaylen Brown,2018,21,BOS,0.0,5.0,505,0.010,70,30.7,14.5,4.9,1.6,1.0,0.4,.465,.395,.644,4.5,.100
Klay Thompson,2018,27,GSW,0.0,4.0,505,0.008,73,34.3,20.0,3.8,2.5,0.8,0.5,.488,.440,.837,4.9,.094
Steven Adams,2018,24,OKC,0.0,3.0,505,0.006,76,32.7,13.9,9.0,1.2,1.2,1.0,.629,.000,.559,9.7,.187
Jimmy Butler,2018,28,MIN,0.0,3.0,505,0.006,59,36.7,22.2,5.3,4.9,2.0,0.4,.474,.350,.854,8.9,.198
Clint Capela,2018,23,HOU,0.0,2.0,505,0.004,74,27.5,13.9,10.8,0.9,0.8,1.9,.652,.000,.560,10.2,.242
Andre Drummond,2018,24,DET,0.0,1.0,505,0.002,78,33.7,15.0,16.0,3.0,1.5,1.6,.529,.000,.605,10.3,.189
Jusuf Nurkić,2018,23,POR,0.0,1.0,505,0.002,79,26.4,14.3,9.0,1.8,0.8,1.4,.505,.000,.630,4.7,.108
Victor Oladipo,2018,25,IND,0.0,1.0,505,0.002,75,34.0,23.1,5.2,4.3,2.4,0.8,.477,.371,.799,8.2,.155
