Rk,Team,Overall,Home,Road,E,W,A,C,SE,NW,P,SW,Pre,Post,≤3,≥10
1,San Antonio Spurs,62-20,33-8,29-12,21-7,41-13,12-2,9-5,20-6,21-7,30-15,32-5,15-6,32-5,6-7,9-3
2,Utah Jazz,60-22,33-8,27-14,24-4,36-18,13-1,11-3,17-9,19-9,35-13,25-9,6-4,39-6,9-5,10-4
3,Phoenix Suns,59-23,32-9,27-14,20-8,39-15,11-3,9-5,16-8,23-7,38-10,21-13,8-2,28-13,10-4,11-3
4,Orlando Magic,57-25,39-2,18-23,39-17,18-8,18-10,21-7,9-3,9-5,37-10,20-15,9-9,37-10,10-2,13-4
5,Seattle SuperSonics,57-25,32-9,25-16,23-5,34-20,12-2,11-3,18-6,16-14,33-12,24-13,4-5,38-7,9-5,9-4
6,New York Knicks,55-27,29-12,26-15,37-19,18-8,23-5,14-14,9-3,9-5,30-16,25-11,5-5,26-14,7-4,8-8
7,Indiana Pacers,52-30,33-8,19-22,35-21,17-9,17-11,18-10,7-5,10-4,27-19,25-11,6-7,27-14,7-5,10-4
8,Charlotte Hornets,50-32,29-12,21-20,36-20,14-12,19-9,17-11,5-7,9-5,31-17,19-15,5-8,25-16,7-6,9-6
9,Los Angeles Lakers,48-34,29-12,19-22,18-10,30-24,8-6,10-4,15-9,15-15,29-16,19-18,12-3,21-18,8-6,9-3
10,Chicago Bulls,47-35,28-13,19-22,35-21,12-14,19-9,16-12,6-6,6-8,23-25,24-10,5-10,30-11,7-6,8-7
11,Houston Rockets,47-35,25-16,22-19,20-8,27-27,9-5,11-3,13-13,14-14,29-17,18-18,5-8,27-18,10-3,8-6
12,Portland Trail Blazers,44-38,26-15,18-23,16-12,28-26,8-6,8-6,11-13,17-13,25-20,19-18,4-6,27-17,6-6,7-7
13,Cleveland Cavaliers,43-39,26-15,17-24,33-23,10-16,16-12,17-11,3-9,7-7,28-19,15-20,10-8,17-15,8-5,12-3
14,Atlanta Hawks,42-40,24-17,18-23,28-28,14-12,19-9,9-19,7-5,7-7,22-26,20-14,7-7,23-18,4-9,8-8
15,Denver Nuggets,41-41,23-18,18-23,14-14,27-27,7-7,7-7,13-13,14-14,20-26,21-15,7-10,21-19,6-6,8-7
16,Sacramento Kings,39-43,27-14,12-29,14-14,25-29,7-7,7-7,8-16,17-13,25-20,14-23,8-7,16-22,6-6,9-6
17,Dallas Mavericks,36-46,19-22,17-24,13-15,23-31,5-9,8-6,11-15,12-16,18-28,18-18,10-9,13-26,7-4,6-8
18,Boston Celtics,35-47,20-21,15-26,24-32,11-15,14-14,10-18,5-7,6-8,19-27,16-20,9-7,16-21,7-6,4-11
19,Milwaukee Bucks,34-48,22-19,12-29,26-30,8-18,13-15,13-15,3-9,5-9,19-29,15-19,10-6,6-23,5-7,4-11
20,Miami Heat,32-50,22-19,10-31,25-31,7-19,9-19,16-12,3-9,4-10,17-29,15-21,3-8,20-24,3-9,6-9
21,New Jersey Nets,30-52,20-21,10-31,21-35,9-17,13-15,8-20,3-9,6-8,19-31,11-21,8-9,10-20,6-9,6-10
22,Detroit Pistons,28-54,22-19,6-35,21-35,7-19,13-15,8-20,3-9,4-10,17-29,11-25,5-4,8-39,7-6,2-11
23,Golden State Warriors,26-56,15-26,11-30,7-21,19-35,6-8,1-13,8-16,11-19,14-31,12-25,5-7,11-32,8-5,2-12
24,Philadelphia 76ers,24-58,14-27,10-31,16-40,8-18,12-16,4-24,2-10,6-8,14-34,10-24,3-11,9-26,4-8,6-10
25,Minnesota Timberwolves,21-61,13-28,8-33,9-19,12-42,5-9,4-10,4-22,8-20,11-36,10-25,7-6,5-40,1-13,5-7
26,Washington Bullets,21-61,13-28,8-33,16-40,5-21,9-19,7-21,2-10,3-11,11-34,10-27,7-9,4-27,4-7,3-12
27,Los Angeles Clippers,17-65,13-28,4-37,7-21,10-44,3-11,4-10,4-20,6-24,8-40,9-25,4-6,8-43,0-13,4-12
