Player,Year,Age,Team,FirstPlace,PtsWon,PtsMax,%,GP,MP,PTS,TRP,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48
Nikola Jokić,2021,25,DEN,91.0,971.0,1010,0.961,72,34.6,26.4,10.8,8.3,1.3,0.7,.566,.388,.868,15.6,.301
Joel Embiid,2021,26,PHI,1.0,586.0,1010,0.580,51,31.1,28.5,10.6,2.8,1.0,1.4,.513,.377,.859,8.8,.266
Stephen Curry,2021,32,GSW,5.0,453.0,1010,0.449,63,34.2,32.0,5.5,5.8,1.2,0.1,.482,.421,.916,9.0,.201
Giannis Antetokounmpo,2021,26,MIL,1.0,348.0,1010,0.345,61,33.0,28.1,11.0,5.9,1.2,1.2,.569,.303,.685,10.2,.244
Chris Paul,2021,35,PHO,2.0,139.0,1010,0.138,70,31.4,16.4,4.5,8.9,1.4,0.3,.499,.395,.934,9.2,.201
Luka Dončić,2021,21,DAL,0.0,42.0,1010,0.042,66,34.3,27.7,8.0,8.6,1.0,0.5,.479,.350,.730,7.7,.163
Damian Lillard,2021,30,POR,0.0,38.0,1010,0.038,67,35.8,28.8,4.2,7.5,0.9,0.3,.451,.391,.928,10.4,.209
Julius Randle,2021,26,NYK,0.0,20.0,1010,0.020,71,37.6,24.1,10.2,6.0,0.9,0.3,.456,.411,.811,7.8,.140
Derrick Rose,2021,32,TOT,1.0,10.0,1010,0.010,50,25.6,14.7,2.6,4.2,1.0,0.4,.470,.388,.866,3.1,.118
Rudy Gobert,2021,28,UTA,0.0,8.0,1010,0.008,71,30.8,14.3,13.5,1.3,0.6,2.7,.675,.000,.623,11.3,.248
Russell Westbrook,2021,32,WAS,0.0,5.0,1010,0.005,65,36.4,22.2,11.5,11.7,1.4,0.4,.439,.315,.656,3.7,.075
Ben Simmons,2021,24,PHI,0.0,3.0,1010,0.003,58,32.4,14.3,7.2,6.9,1.6,0.6,.557,.300,.613,6.0,.153
James Harden,2021,31,TOT,0.0,1.0,1010,0.001,44,36.6,24.6,7.9,10.8,1.2,0.8,.466,.362,.861,7.0,.208
LeBron James,2021,36,LAL,0.0,1.0,1010,0.001,45,33.4,25.0,7.7,7.8,1.1,0.6,.513,.365,.698,5.6,.179
Kawhi Leonard,2021,29,LAC,0.0,1.0,1010,0.001,52,34.1,24.8,6.5,5.2,1.6,0.4,.512,.398,.885,8.8,.238
