Name,Conference,Year,Wins,Losess,W/L%,GB,PS/G,PA/G,SRS
Milwaukee Bucks,E,2019,60,22,0.732,0.0,118.1,109.3,8.04
Toronto Raptors,E,2019,58,24,0.707,2.0,114.4,108.4,5.49
Philadelphia 76ers,E,2019,51,31,0.622,9.0,115.2,112.5,2.25
Boston Celtics,E,2019,49,33,0.598,11.0,112.4,108.0,3.90
Indiana Pacers,E,2019,48,34,0.585,12.0,108.0,104.7,2.76
Brooklyn Nets,E,2019,42,40,0.512,18.0,112.2,112.3,-0.40
Orlando Magic,E,2019,42,40,0.512,18.0,107.3,106.6,0.28
Detroit Pistons,E,2019,41,41,0.500,19.0,107.0,107.3,-0.56
Charlotte Hornets,E,2019,39,43,0.476,21.0,110.7,111.8,-1.32
Miami Heat,E,2019,39,43,0.476,21.0,105.7,105.9,-0.45
Washington Wizards,E,2019,32,50,0.390,28.0,114.0,116.9,-3.30
Atlanta Hawks,E,2019,29,53,0.354,31.0,113.3,119.4,-6.06
Chicago Bulls,E,2019,22,60,0.268,38.0,104.9,113.4,-8.32
Cleveland Cavaliers,E,2019,19,63,0.232,41.0,104.5,114.1,-9.39
New York Knicks,E,2019,17,65,0.207,43.0,104.6,113.8,-8.93
Golden State Warriors,W,2019,57,25,0.695,0.0,117.7,111.2,6.42
Denver Nuggets,W,2019,54,28,0.659,3.0,110.7,106.7,4.19
Portland Trail Blazers,W,2019,53,29,0.646,4.0,114.7,110.5,4.43
Houston Rockets,W,2019,53,29,0.646,4.0,113.9,109.1,4.96
Utah Jazz,W,2019,50,32,0.610,7.0,111.7,106.5,5.28
Oklahoma City Thunder,W,2019,49,33,0.598,8.0,114.5,111.1,3.56
San Antonio Spurs,W,2019,48,34,0.585,9.0,111.7,110.0,1.80
Los Angeles Clippers,W,2019,48,34,0.585,9.0,115.1,114.3,1.09
Sacramento Kings,W,2019,39,43,0.476,18.0,114.2,115.3,-0.81
Los Angeles Lakers,W,2019,37,45,0.451,20.0,111.8,113.5,-1.33
Minnesota Timberwolves,W,2019,36,46,0.439,21.0,112.5,114.0,-1.02
Memphis Grizzlies,W,2019,33,49,0.402,24.0,103.5,106.1,-2.08
New Orleans Pelicans,W,2019,33,49,0.402,24.0,115.4,116.8,-1.10
Dallas Mavericks,W,2019,33,49,0.402,24.0,108.9,110.1,-0.87
Phoenix Suns,W,2019,19,63,0.232,38.0,107.5,116.8,-8.61
